Date,Location,Person,Movement type
23.11.2015 06:37,Vessel 235098384,P1,Exit
23.11.2015 06:37,Vessel 235098384,P1,Enter
23.11.2015 06:50,Vessel 235098384,P2,Enter
23.11.2015 06:56,Vessel 235103572,P3,Enter
23.11.2015 06:57,Vessel 235103572,P4,Enter
23.11.2015 06:57,Vessel 235103572,P5,Enter
23.11.2015 07:03,Vessel 235090838,P6,Enter
23.11.2015 07:03,Vessel 235090838,P7,Enter
23.11.2015 07:03,Vessel 235090838,P8,Enter
23.11.2015 07:14,Vessel 235100575,P9,Enter
23.11.2015 08:33,Vessel 235098384,P20,Enter
23.11.2015 08:33,H4P,P20,Enter
23.11.2015 08:36,Vessel 235098384,P49,Exit
23.11.2015 08:36,H4P,P49,Enter
23.11.2015 08:36,Vessel 235098384,P29,Exit
23.11.2015 08:36,H4P,P29,Enter
23.11.2015 08:37,Vessel 235098384,P44,Exit
23.11.2015 08:37,H4P,P44,Enter
23.11.2015 08:37,Vessel 235090838,P56,Exit
23.11.2015 08:37,E11B,P56,Enter
23.11.2015 08:37,Vessel 235090838,P36,Exit
23.11.2015 08:37,E11B,P36,Enter
23.11.2015 08:38,Vessel 235090838,P15,Exit
23.11.2015 08:38,E11B,P15,Enter
23.11.2015 08:40,Vessel 235090838,P30,Exit
23.11.2015 08:40,E11B,P30,Enter
23.11.2015 08:43,Vessel 235108059,P59,Exit
23.11.2015 08:43,C5A,P59,Enter
23.11.2015 08:43,Vessel 235108059,P50,Exit
23.11.2015 08:43,C5A,P50,Enter
23.11.2015 08:50,Vessel 235096731,P21,Exit
23.11.2015 08:50,Vessel 235096731,P21,Exit
23.11.2015 08:51,K2M,P21,Enter
23.11.2015 08:51,Vessel 235096731,P31,Exit
23.11.2015 08:51,K2M,P31,Enter
23.11.2015 08:51,Vessel 235096731,P33,Exit
23.11.2015 08:51,K2M,P33,Enter
23.11.2015 08:51,Vessel 235096731,P23,Exit
23.11.2015 08:51,K2M,P23,Enter
23.11.2015 08:51,Vessel 235096731,P13,Exit
23.11.2015 08:51,K2M,P13,Enter
23.11.2015 08:51,Vessel 235108059,P60,Exit
23.11.2015 08:51,C5A,P60,Enter
23.11.2015 08:51,Vessel 235103572,P28,Exit
23.11.2015 08:51,H7R,P28,Enter
23.11.2015 08:52,Vessel 235103572,P35,Exit
23.11.2015 08:52,H7R,P35,Enter
